MTH_TEL_BILL,als_m3_id_nbank_tot_mons,als_m12_id_bank_tot_mons,RACE,SINGE_DATE,BIRTHDAY,m1_num,als_lst_id_bank_inteday,als_lst_id_nbank_consnum,m6_num,als_m6_id_nbank_tot_mons,d15_num,TOTAL_PRICE,m6_day,LOAN_AMT,APROV_DURATION,DOWN_PAY,als_fst_id_nbank_inteday,als_m3_id_tot_mons,m12_num,als_m12_id_tot_mons,m12_day,FIRST_REPAY,als_fst_id_bank_inteday,als_m6_id_tot_mons,FLX_PACKAGE,m3_day,m3_num,MONTH_RATE,REPAY_DAY,als_m12_id_nbank_tot_mons,als_lst_id_bank_consnum,MTH_REPAY_AMT,als_m6_id_bank_tot_mons,d7_num,y
1,1,0,0,2,32,8,0,1,12,1,8,3357,712,2657,0.92,700,1,1,12,1,1428,314,0,1,0.67,352,12,1.67,13,1,0,314,0,8,0
1,1,0,1,3,36,30,0,3,42,1,30,7376,712,4376,1.32,3000,1,1,42,1,1428,395,0,1,0.65,352,42,1.67,11,1,0,395,0,30,1
1,1,0,0,2,20,8,0,1,22,2,8,5149,404,4649,0.82,500,102,1,22,2,404,290,0,2,1.05,352,12,1.67,8,2,0,290,0,8,0
0,1,0,1,3,25,10,0,1,22,2,10,3679,680,3479,0.83,200,309,1,36,4,400,314,0,2,0.65,352,14,1.67,10,4,0,314,0,10,0
0,1,0,0,3,34,18,0,1,26,1,18,7722,4,4722,0.73,3000,206,1,33,2,410,558,0,1,0.91,4,26,1.98,3,2,0,558,0,18,0
0,2,2,0,2,20,10,30,1,61,3,10,3185,152,2785,11.1,400,116,2,61,3,152,298,50,3,0.23,136,49,1.03,4,3,1,298,2,10,0
1,0,0,0,1,19,0,0,0,0,0,0,4937,712,4937,0.65,0,0,0,0,0,1428,308,0,0,1.05,352,0,1.67,4,0,0,308,0,0,0
0,0,0,1,2,35,0,0,0,0,0,0,2183,712,2183,9.83,0,0,0,0,0,1428,258,0,0,0.67,352,0,1.67,12,0,0,258,0,0,0
1,1,0,0,2,45,8,0,1,12,1,8,1529,712,1529,1.25,0,1,1,12,1,1428,138,0,1,0.5,352,12,1.09,5,1,0,138,0,8,0
1,1,0,1,2,54,8,0,1,12,1,8,1664,712,1464,0.95,200,1,1,12,1,1428,173,0,1,0.67,352,12,1.67,9,1,0,173,0,8,1
1,1,0,0,2,30,8,0,1,12,1,8,2547,712,2547,0.85,0,1,1,12,1,1428,301,0,1,0.67,352,12,1.67,6,1,0,301,0,8,0
1,1,0,0,2,21,10,0,1,14,1,10,4232,712,4232,0.95,0,1,1,14,1,1428,264,0,1,1.05,352,14,1.67,11,1,0,264,0,10,0
0,1,0,1,4,37,8,0,1,12,1,8,2083,712,2083,2.32,0,261,1,22,2,1040,188,0,1,0.5,352,12,1.09,5,2,0,188,0,8,0
1,1,0,1,2,26,8,0,1,22,2,8,1792,400,1692,0.72,100,294,1,26,3,586,200,0,2,0.64,352,12,1.33,13,3,0,200,0,8,0
1,1,0,0,2,28,8,0,1,12,1,8,2425,712,1496,0.67,929,1,1,12,1,1428,135,0,1,0.65,352,12,1.67,1,1,0,135,0,8,0
0,1,0,0,4,26,8,0,1,20,2,8,2383,472,2083,8.95,300,359,1,200.66,6,236,188,0,2,0.5,352,12,1.09,5,6,0,188,0,8,1
0,1,6,0,2,33,16,26,1,51.4,2,8,3460,455,2160,0.55,1300,169,3,55.33,6,509,195,250,5,0.5,92,36.33,1.09,1,2,1,195,5,8,0
1,0,0,0,2,19,0,0,0,0,0,0,4279,712,3479,0.55,800,0,0,0,0,1428,314,0,0,0.65,352,0,1.67,10,0,0,314,0,0,0
1,1,0,0,2,22,10,0,1,14,1,10,3089,712,2589,0.95,500,1,1,14,1,1428,277,0,1,0.23,352,14,1.03,3,1,0,277,0,10,0
0,1,0,0,1,21,8,0,1,12,1,8,1529,712,1529,0.85,0,1,1,12,1,1428,138,0,1,0.5,352,12,1.09,6,1,0,138,0,8,0
1,1,0,0,2,32,8,0,1,12,1,8,4799,712,3799,0.93,1000,1,1,12,1,1428,237,0,1,1.05,352,12,1.67,9,1,0,237,0,8,0
0,1,1,0,3,26,8,279,1,12,1,8,2083,712,2083,6.77,0,279,1,41.25,4,420,188,279,1,0.5,352,12,1.09,28,4,1,188,0,8,0
1,1,0,0,2,22,8,0,1,12,1,8,4656,712,3656,0.93,1000,1,1,12,1,1428,432,0,1,0.38,352,12,1.03,6,1,0,432,0,8,0
1,2,2,1,2,24,16,208,1,49.34,3,16,4920,174,4620,0.77,300,356,2,96.14,7,440,417,341,3,0.65,58,42,1.67,13,7,1,417,0,16,0
0,1,0,1,3,20,10,0,1,14,1,10,3402,712,3102,0.78,300,1,1,14,1,1428,280,0,1,0.65,352,14,1.67,10,1,0,280,0,10,0
1,1,0,1,2,35,8,0,1,12,1,8,5211,712,3811,1,1400,1,1,12,1,1428,344,0,1,0.65,352,12,1.67,2,1,0,344,0,8,0
0,1,0,0,3,35,8,0,1,12,1,8,1529,712,1529,1.02,0,1,1,12,1,1428,138,0,1,0.89,352,12,1.33,1,1,0,138,0,8,0
